小分类,题目,答案
strade extraurbane principali,Le strade extraurbane principali sono dotate di apposite aree di sosta,V
strade extraurbane principali,La strada extraurbana principale non ha incroci a raso che l'attraversano,V
strade extraurbane principali,Le strade extraurbane principali sono segnalate da cartelli stradali di inizio e fine,V
strade extraurbane principali,Nelle strade extraurbane principali possono circolare solo alcune categorie di veicoli a motore,V
strade extraurbane principali,Nelle strade extraurbane principali si possono trovare intersezioni (incroci) a livelli sfalsati,V
strade extraurbane principali,Le strade extraurbane principali sono provviste di corsie di accelerazione per l'ingresso,V
strade extraurbane principali,Sulle strade extraurbane principali è consentito circolare alla velocità massima di 130 km/h,F
strade extraurbane principali,Le strade extraurbane principali sono contraddistinte da segnaletica verde,F
strade extraurbane principali,Le strade extraurbane principali possono essere ad un'unica carreggiata,F
strade extraurbane principali,Sulle strade extraurbane principali è consentito circolare alla stessa velocità massima prevista per le autostrade,F
strade extraurbane principali,Sulle strade extraurbane principali i quadricicli leggeri possono transitare,F
strade extraurbane principali,Le strade extraurbane principali hanno una sola corsia per ogni senso di marcia,F
strade extraurbane principali,Sulle strade extraurbane principali i ciclomotori possono transitare,F
strade extraurbane principali,Nelle strade extraurbane principali non vi sono curve né dossi,F
strade extraurbane principali,Le strade extraurbane principali devono essere dotate di pannelli a messaggio variabile,F
isola di traffico,L'isola di traffico serve a facilitare l'incanalamento dei veicoli verso varie direzioni,V
isola di traffico,L'isola di traffico è delimitata da strisce bianche continue,V
isola di traffico,L'isola di traffico può essere a raso o in rilievo (rialzata),V
isola di traffico,L'isola di traffico viene evidenziata mediante zebrature di colore bianco,V
isola di traffico,L'isola di traffico è una parte della strada sulla quale è vietato il transito dei motocicli,V
isola di traffico,L'isola di traffico a raso è costituita da zebrature di colore bianco,V
isola di traffico,"L'isola di traffico, se rialzata, è preceduta da zebrature di colore bianco",V
isola di traffico,L'isola di traffico è una parte della strada sulla quale è vietato il transito dei veicoli,V
isola di traffico,L'isola di traffico serve a separare la carreggiata dalla banchina,F
isola di traffico,L'isola di traffico serve per il transito dei pedoni,F
isola di traffico,L'isola di traffico è una piazzola di sosta per i veicoli,F
isola di traffico,L'isola di traffico può essere percorsa solo dai taxi e dagli autobus urbani,F
isola di traffico,L'isola di traffico è la parte della città con maggiore traffico,F
isola di traffico,"L'isola di traffico corrisponde, in genere, al centro storico della città",F
isola di traffico,L'isola di traffico è una piazzola per effettuare l'inversione di marcia,F
isola di traffico,L'isola di traffico è posta al di fuori della strada,F
isola di traffico,L'isola di traffico serve per la fermata dei veicoli,F
isola di traffico,"L'isola di traffico facilita la salita e la discesa di passeggeri da tram, filobus e autobus",F
isola di traffico,L'isola di traffico è una zona destinata al parcheggio dei veicoli,F
isola di traffico,L'isola di traffico è un'area pedonale urbana,F
isola di traffico,L'isola di traffico è una parte della strada sulla quale è consentito il transito dei ciclomotori,F
intersezione (incrocio) a livelli sfalsati,L'intersezione (incrocio) a livelli sfalsati comprende strade situate ad altezze diverse,V
intersezione (incrocio) a livelli sfalsati,"L'intersezione (incrocio) a livelli sfalsati facilita la circolazione, perché esclude l'incrocio diretto fra i veicoli",V
intersezione (incrocio) a livelli sfalsati,"L'intersezione (incrocio) a livelli sfalsati comprende rampe, sovrappassi o sottopassi",V
intersezione (incrocio) a livelli sfalsati,"L'intersezione (incrocio) a livelli sfalsati è munita di infrastrutture (rampe, sovrappassi, sottopassi) per il collegamento fra strade poste a livelli diversi",V
intersezione (incrocio) a livelli sfalsati,L'intersezione a livelli sfalsati è un incrocio a raso fra una strada e i binari del treno,F
intersezione (incrocio) a livelli sfalsati,Nell'intersezione (incrocio) a livelli sfalsati non valgono i limiti massimi generali di velocità,F
intersezione (incrocio) a livelli sfalsati,"L'intersezione (incrocio) a livelli sfalsati è, di norma, regolata da semafori",F
intersezione (incrocio) a raso,Nell'intersezione (incrocio) a raso due o più strade si incrociano allo stesso livello,V
intersezione (incrocio) a raso,L'intersezione (incrocio) a raso può essere regolata da semaforo,V
intersezione (incrocio) a raso,L'intersezione (incrocio) a raso è un'intersezione di due o più strade poste allo stesso livello,V
intersezione (incrocio) a raso,L'intersezione (incrocio) a raso richiede di fare attenzione ai veicoli provenienti dalle strade che si incrociano,V
intersezione (incrocio) a raso,L'intersezione (incrocio) a raso è un incrocio fra una strada statale e i binari del tram,F
intersezione (incrocio) a raso,L'intersezione (incrocio) a raso è un passaggio a livello dotato di barriere o semibarriere,F
intersezione (incrocio) a raso,L'intersezione (incrocio) a raso è un'intersezione a livelli sfalsati,F
intersezione (incrocio) a raso,"L'intersezione (incrocio) a raso è un insieme di sovrappassi, sottopassi e rampe",F
intersezione (incrocio) a raso,L'intersezione (incrocio) a raso è un incrocio fra una strada statale e un passo carrabile,F
zona a traffico limitato,Una zona a traffico limitato è un'area in cui può essere limitata la circolazione dei veicoli solo in alcune ore,V
zona a traffico limitato,Una zona a traffico limitato è un'area nella quale può essere limitata la circolazione solo di particolari categorie di veicoli,V
zona a traffico limitato,In una zona a traffico limitato possono circolare solo i veicoli autorizzati,V
zona a traffico limitato,Una zona a traffico limitato è un'area nella quale può essere limitata la circolazione solo a particolari categorie di utenti,V
zona a traffico limitato,Una zona a traffico limitato è delimitata da appositi segnali stradali di inizio e di fine,V
zona a traffico limitato,In una zona a traffico limitato non possono entrare più di un certo numero di veicoli,F
zona a traffico limitato,Una zona a traffico limitato è un'area nella quale è consentito solo il transito di ciclomotori e biciclette,F
zona a traffico limitato,Una zona a traffico limitato è un'area sempre vietata al transito dei veicoli a motore,F
zona a traffico limitato,Una zona a traffico limitato è un'area vietata al transito dei pedoni durante le ore notturne,F
passaggio a livello,In un passaggio a livello si possono trovare le barriere,V
passaggio a livello,In un passaggio a livello si possono trovare le semibarriere,V
passaggio a livello,In un passaggio a livello si possono trovare le luci rosse,V
passaggio a livello,In vicinanza di un passaggio a livello si trovano i pannelli distanziometrici,V
passaggio a livello,In un passaggio a livello si può trovare la croce di S. Andrea,V
passaggio a livello,In un passaggio a livello si può trovare un dispositivo di segnalazione acustica,V
passaggio a livello,Il passaggio a livello è un cavalcavia ferroviario o tranviario,F
passaggio a livello,In un passaggio a livello si possono trovare le luci gialle lampeggianti,F
passaggio a livello,Il passaggio a livello è caratterizzato dalla presenza di un attraversamento autostradale,F
passaggio a livello,In un passaggio a livello si possono trovare le corsie di accelerazione,F
passaggio a livello,Il passaggio a livello è un passo carrabile,F
passaggio a livello,Il passaggio a livello è caratterizzato dalla presenza di un sottopassaggio,F
aree pedonali,"Nelle aree pedonali possono transitare i veicoli ad emissione zero (elettrici), se espressamente consentito",V
aree pedonali,Nelle aree pedonali possono transitare i pedoni,V
aree pedonali,Nelle aree pedonali possono transitare le biciclette,V
aree pedonali,Nelle aree pedonali possono transitare i veicoli al servizio di persone diversamente abili,V
aree pedonali,"Nelle aree pedonali possono transitare i veicoli della polizia, con sirena e luce lampeggiante blu in funzione",V
aree pedonali,"Nelle aree pedonali possono transitare gli autoveicoli dei vigili del fuoco, con luce lampeggiante blu e sirena in funzione",V
aree pedonali,"Nelle aree pedonali possono transitare tutti i motocicli, purché diano la precedenza ai pedoni",F
aree pedonali,"Nelle aree pedonali possono transitare i trattori stradali, con velocità non superiore a 30 km/h",F
aree pedonali,Nelle aree pedonali i ciclomotori possono transitare solo di giorno,F
aree pedonali,"Nelle aree pedonali possono transitare tutti gli autoveicoli, ma con prudenza",F
aree pedonali,"Nelle aree pedonali possono transitare i quadricicli a motore, purché non superino la velocità di 50 km/h",F
"strada, definizione e caratteristiche",La strada può essere suddivisa in carreggiate,V
"strada, definizione e caratteristiche",La strada può comprendere le piste ciclabili,V
"strada, definizione e caratteristiche",La strada può essere a senso unico di circolazione,V
"strada, definizione e caratteristiche",La strada può essere a doppio senso di circolazione,V
"strada, definizione e caratteristiche","La strada è aperta alla circolazione dei pedoni, degli animali e dei veicoli",V
"strada, definizione e caratteristiche",La strada non comprende le banchine,F
"strada, definizione e caratteristiche",La strada è riservata alla circolazione dei soli autoveicoli e motocicli,F
"strada, definizione e caratteristiche",La strada è normalmente riservata alla circolazione dei soli veicoli e animali,F
"strada, definizione e caratteristiche",La strada non comprende i marciapiedi,F
"strada, definizione e caratteristiche","La strada è qualsiasi area asfaltata, limitata lateralmente dagli attraversamenti pedonali",F
"autostrada, definizione e caratteristiche",L'autostrada non ha incroci a raso che l'attraversano,V
"autostrada, definizione e caratteristiche",L'autostrada è dotata di speciali corsie per l'ingresso e l'uscita dei veicoli,V
"autostrada, definizione e caratteristiche",L'autostrada è a carreggiate indipendenti o separate da spartitraffico,V
"autostrada, definizione e caratteristiche",I motocicli con cilindrata di almeno 150 cm3 possono circolare in autostrada,V
"autostrada, definizione e caratteristiche",Le macchine agricole non possono circolare in autostrada,V
"autostrada, definizione e caratteristiche",Non tutti i tipi di veicoli possono circolare in autostrada,V
"autostrada, definizione e caratteristiche",L'uscita dei veicoli dalle autostrade avviene tramite corsie di decelerazione,V
"autostrada, definizione e caratteristiche",L'autostrada deve essere lateralmente recintata,V
"autostrada, definizione e caratteristiche",Nelle autostrade possono circolare solo le autovetture,F
"autostrada, definizione e caratteristiche",Nelle autostrade possono circolare tutti i tipi di motocicli,F
"autostrada, definizione e caratteristiche",L'autostrada può comprendere piste ciclabili,F
"autostrada, definizione e caratteristiche",Nelle autostrade possono circolare i ciclomotori e i motocicli con cilindrata fino a 125 cm3,F
"autostrada, definizione e caratteristiche",Nelle autostrade possono circolare solo gli autoveicoli,F
"autostrada, definizione e caratteristiche",Nelle autostrade possono circolare tutti i motocicli e i ciclomotori,F
"carreggiata, definizione e caratteristiche",La carreggiata può essere a senso unico di circolazione,V
"carreggiata, definizione e caratteristiche",La carreggiata può essere a doppio senso di circolazione,V
"carreggiata, definizione e caratteristiche",La carreggiata può essere suddivisa in corsie,V
"carreggiata, definizione e caratteristiche",La carreggiata non comprende le piste ciclabili,V
"carreggiata, definizione e caratteristiche",La carreggiata non comprende i marciapiedi,V
"carreggiata, definizione e caratteristiche",La carreggiata è la parte della strada destinata normalmente alla circolazione dei veicoli,V
"carreggiata, definizione e caratteristiche",La carreggiata è destinata soltanto alla circolazione di carri a trazione animale,F
"carreggiata, definizione e caratteristiche",La carreggiata è destinata alla sosta di emergenza,F
"carreggiata, definizione e caratteristiche",La carreggiata è destinata alla sosta degli autocarri,F
"carreggiata, definizione e caratteristiche",La carreggiata è la traccia lasciata dalle ruote dei veicoli sulle strade innevate,F
"carreggiata, definizione e caratteristiche",La carreggiata comprende le piazzole di sosta,F
le parti della carreggiata,Fanno parte della carreggiata le corsie di marcia,V
le parti della carreggiata,Fanno parte della carreggiata gli attraversamenti ciclabili,V
le parti della carreggiata,Fanno parte della carreggiata gli attraversamenti pedonali,V
le parti della carreggiata,Fanno parte della carreggiata le corsie di sorpasso,V
le parti della carreggiata,Fanno parte della carreggiata le corsie di emergenza delle autostrade,F
le parti della carreggiata,Fanno parte della carreggiata le banchine,F
le parti della carreggiata,Fanno parte della carreggiata i marciapiedi,F
"corsia, definizione e caratteristiche",La corsia può essere destinata alla normale marcia dei veicoli,V
"corsia, definizione e caratteristiche",La corsia è limitata da strisce continue o discontinue,V
"corsia, definizione e caratteristiche",La corsia può essere di accelerazione,V
"corsia, definizione e caratteristiche",La corsia può essere di decelerazione,V
"corsia, definizione e caratteristiche",Le corsie possono essere vietate a taluni tipi di veicoli,V
"corsia, definizione e caratteristiche","La corsia può essere riservata alla circolazione di alcune categorie di veicoli (taxi, autobus, ecc.)",V
"corsia, definizione e caratteristiche",La corsia può essere destinata ad effettuare sorpassi,V
"corsia, definizione e caratteristiche",L'ente proprietario della strada può imporre che su una corsia i veicoli transitino ad una velocità minima obbligatoria,V
"corsia, definizione e caratteristiche",La corsia è una parte della carreggiata che consente la circolazione di una sola fila di veicoli,V
"corsia, definizione e caratteristiche","La corsia può essere destinata alle soste di emergenza, in caso di guasto o malessere",V
"corsia, definizione e caratteristiche",La corsia può essere riservata ai veicoli che intendono svoltare (corsia specializzata),V
"corsia, definizione e caratteristiche",La corsia può essere destinata al rallentamento dei veicoli in uscita dalle autostrade,V
"corsia, definizione e caratteristiche",La corsia è destinata solo al transito dei pedoni,F
"corsia, definizione e caratteristiche",La corsia può essere a doppio senso di circolazione,F
"corsia, definizione e caratteristiche",La corsia è una pista riservata alle vetture da corsa,F
"corsia, definizione e caratteristiche",La corsia non può mai essere attraversata dai pedoni,F
"corsia, definizione e caratteristiche",La corsia è formata da due carreggiate,F
"corsia, definizione e caratteristiche",La corsia è una strada a scorrimento veloce,F
"corsia, definizione e caratteristiche","Nei centri abitati, su una stessa corsia possono circolare affiancati due motocicli",F
"corsia, definizione e caratteristiche","Fuori dai centri abitati, su una stessa corsia possono circolare affiancati due ciclomotori",F
corsia di accelerazione,La corsia di accelerazione facilita l'ingresso dei veicoli in autostrada o su strade extraurbane principali,V
corsia di accelerazione,La corsia di accelerazione serve ad entrare correttamente in autostrada,V
corsia di accelerazione,La corsia di accelerazione viene utilizzata per aumentare la velocità,V
corsia di accelerazione,La corsia di accelerazione serve per rientrare sulla carreggiata dell’autostrada dopo che si è usciti da un’area di servizio,V
corsia di accelerazione,La corsia di accelerazione può essere utilizzata per il sorpasso,F
corsia di accelerazione,La corsia di accelerazione serve per uscire da una piazzola di sosta,F
corsia di accelerazione,La corsia di accelerazione serve per abbandonare la carreggiata dell’autostrada ed entrare in un’area di sosta,F
corsia di decelerazione,La corsia di decelerazione facilita l'uscita dei veicoli dall'autostrada,V
corsia di decelerazione,La corsia di decelerazione serve per uscire correttamente da una strada extraurbana principale,V
corsia di decelerazione,La corsia di decelerazione serve per uscire dalla carreggiata dell’autostrada ed entrare nell’area di servizio,V
corsia di decelerazione,La corsia di decelerazione può essere utilizzata per la sosta dei veicoli,F
corsia di decelerazione,La corsia di decelerazione serve per entrare in una piazzola di sosta,F
corsia di decelerazione,La corsia di decelerazione serve ad entrare in autostrada,F
"banchina, significato e caratteristiche","La banchina non consente, di norma, il transito ai veicoli",V
"banchina, significato e caratteristiche","La banchina è parte della strada, posta al di fuori della carreggiata",V
"banchina, significato e caratteristiche","La banchina è parte della strada, situata oltre la linea bianca continua di margine della carreggiata",V
"banchina, significato e caratteristiche","La banchina è riservata ai veicoli lenti, nelle strade in salita",F
"banchina, significato e caratteristiche",Sulle banchine la sosta dei veicoli è consentita per un massimo di 5 ore,F
"banchina, significato e caratteristiche",La banchina divide la carreggiata in due corsie,F
"banchina, significato e caratteristiche","La banchina è parte della carreggiata, destinata alla sosta dei veicoli",F
marciapiede,"Il marciapiede è una parte della strada, rialzata o delimitata in altro modo, riservata ai pedoni",V
marciapiede,"Il marciapiede è una parte della strada riservata, di norma, ai pedoni",V
marciapiede,Il marciapiede consente la sosta dei veicoli solo in presenza di apposite strisce di parcheggio,V
marciapiede,"Il marciapiede è una parte della strada, al di fuori della carreggiata, destinata alla circolazione dei pedoni",V
marciapiede,Il marciapiede è una parte della carreggiata,F
marciapiede,Il marciapiede è una parte della strada riservata anche alle biciclette,F
marciapiede,"Il marciapiede è riservato ai pedoni e ai veicoli in sosta, qualora non sia rialzato",F
marciapiede,"Il marciapiede è una parte della strada dove, di norma, è consentita la sosta dei ciclomotori",F
salvagente,"Il salvagente, posto in corrispondenza di attraversamenti pedonali, serve anche al riparo o alla sosta dei pedoni che attraversano la strada",V
salvagente,"Il salvagente facilita la salita e la discesa dei passeggeri da tram, filobus o autobus",V
salvagente,Il salvagente può essere segnalato da colonnine luminose a luce gialla fissa,V
salvagente,Il salvagente serve a dividere i sensi di marcia in una strada a doppio senso di circolazione,F
salvagente,Il salvagente serve a incanalare i veicoli in varie direzioni,F
salvagente,Il salvagente è una persona preposta al primo soccorso,F
salvagente,Il salvagente è un itinerario ciclopedonale,F
passo carrabile,"Il passo carrabile consente ai veicoli di accedere alle proprietà private laterali alla strada (garage, cortili, ecc.)",V
passo carrabile,Il passo carrabile permette ai veicoli che circolano su una strada pubblica di accedere ad un'area laterale adibita alla sosta,V
passo carrabile,"Il passo carrabile deve essere corredato da apposito segnale, che riporti l'ente e il numero di autorizzazione",V
passo carrabile,Il passo carrabile è una zona per l’accesso dei veicoli alle proprietà laterali alla strada,V
passo carrabile,In corrispondenza del passo carrabile è consentita la fermata,V
passo carrabile,Il passo carrabile è un parcheggio scambiatore,F
passo carrabile,Il passo carrabile è una strada riservata ai carri trainati da animali,F
passo carrabile,Il passo carrabile è una strada riservata agli autocarri,F
passo carrabile,Il passo carrabile è un salvagente circolare per i pedoni,F
passo carrabile,Il passo carrabile è un segnale che impone la circolazione rotatoria su una piazza,F
passo carrabile,In corrispondenza del passo carrabile è consentita la sosta,F
ciclomotori,"I veicoli a due ruote, con motore termico fino a 50 cm3 di cilindrata e velocità massima di 45 km/h sono ciclomotori",V
ciclomotori,I ciclomotori possono avere due o tre ruote,V
ciclomotori,Non tutti i veicoli a motore a due ruote vengono classificati ciclomotori,V
ciclomotori,I ciclomotori a due ruote non possono avere un motore termico di cilindrata superiore a 50 cm3,V
ciclomotori,"I ciclomotori sono soggetti a revisione dopo quattro anni dalla prima immatricolazione, successivamente ogni due anni",V
ciclomotori,I ciclomotori non hanno più di due ruote,F
ciclomotori,"Le biciclette con pedalata assistita, dotate di motore elettrico ausiliario di potenza massima fino a 0,25 kW, sono definite ciclomotori",F
ciclomotori,Si definiscono ciclomotori tutti i veicoli a due ruote di cilindrata superiore a 50 cm3,F
ciclomotori,"I ciclomotori, per essere definiti tali, devono essere muniti di cambio manuale",F
ciclomotori,I ciclomotori possono circolare alla velocità di 60 km/h fuori dai centri urbani,F
ciclomotori,I ciclomotori non sono soggetti a revisione periodica,F
tricicli a motore,I tricicli a motore sono veicoli a motore a tre ruote simmetriche,V
tricicli a motore,I tricicli a motore sono veicoli con motore di cilindrata superiore a 50 cm3,V
tricicli a motore,I tricicli a motore sono veicoli a motore aventi una velocità massima per costruzione superiore a 45 km/h,V
tricicli a motore,"I tricicli a motore sono soggetti a revisione dopo quattro anni dalla prima immatricolazione, successivamente ogni due anni",V
tricicli a motore,I tricicli a motore sono veicoli a motore che possono essere condotti senza patente,F
tricicli a motore,I tricicli a motore sono costituiti da un motociclo e un sidecar,F
tricicli a motore,I tricicli a motore sono veicoli con motore di cilindrata inferiore a 50 cm3 e aventi velocità massima per costruzione fino a 45 km/h,F
tricicli a motore,I tricicli a motore non sono soggetti a revisione periodica,F
quadricicli,I quadricicli leggeri alimentati a benzina hanno cilindrata del motore inferiore o pari a 50 cm3,V
quadricicli,I quadricicli sono veicoli a motore a quattro ruote,V
quadricicli,"I quadricicli leggeri, ai fini della circolazione, sono assimilati ai ciclomotori",V
quadricicli,La potenza dei quadricicli non leggeri è sempre inferiore o uguale a 15 kW,V
quadricicli,I quadricicli sono soggetti a revisione periodica,V
quadricicli,I quadricicli diversi da quelli leggeri possono essere guidati senza patente,F
quadricicli,"I quadricicli non leggeri, ai fini della circolazione, sono equiparati ai ciclomotori",F
quadricicli,"E' consentito sostituire il dispositivo di scarico dei quadricicli leggeri per aumentare la velocità massima, purché non si aumenti la cilindrata del motore",F
quadricicli,La guida dei quadricicli non leggeri è consentita già al compimento del quattordicesimo anno di età,F
quadricicli,I quadricicli non leggeri a manubrio e con carrozzeria aperta possono essere condotti senza casco,F
quadricicli,E' consentito aumentare la cilindrata dei quadricicli leggeri purché non si aumenti la velocità,F
quadricicli,E' consentito sostituire il motore del quadriciclo leggero per aumentare la velocità massima oltre i 45 km/h,F
quadricicli,I quadricicli non sono soggetti a revisione periodica,F
macchine agricole e operatrici,Le macchine agricole possono circolare su strada per il proprio trasferimento se immatricolate,V
macchine agricole e operatrici,Le macchine agricole possono essere a ruote o a cingoli,V
macchine agricole e operatrici,Le macchine agricole a ruote o a cingoli possono circolare su strada per il trasporto di prodotti agricoli per conto delle aziende agricole e forestali,V
macchine agricole e operatrici,Le macchine agricole possono essere semoventi o trainate,V
macchine agricole e operatrici,Le macchine agricole operatrici possono essere dotate di speciali attrezzature per l'esecuzione di operazioni agricole,V
macchine agricole e operatrici,Le macchine operatrici possono essere semoventi o trainate,V
macchine agricole e operatrici,Le macchine operatrici possono essere veicoli sgombraneve,V
macchine agricole e operatrici,Le macchine operatrici possono circolare ad una velocità superiore a 50 km/h,F
macchine agricole e operatrici,Le macchine operatrici a cingoli possono circolare ad una velocità superiore a 45 km/h,F
macchine agricole e operatrici,Le macchine operatrici semoventi possono trasportare fino a quattro passeggeri,F
macchine agricole e operatrici,Per condurre macchine operatrici è necessario essere titolari della patente di guida della categoria A,F
macchine agricole e operatrici,Le macchine agricole possono trasportare fino a quattro passeggeri,F
macchine agricole e operatrici,Sulle macchine agricole e sui loro rimorchi è consentito il trasporto di persone in piedi,F
macchine agricole e operatrici,Con la patente di categoria A si possono guidare tutte le macchine agricole,F
macchine agricole e operatrici,Con la patente di categoria B si possono guidare le macchine operatrici eccezionali,F
"caravan, significato e caratteristiche",I caravan (roulottes) sono rimorchi attrezzati per essere adibiti ad alloggio,V
"caravan, significato e caratteristiche",I caravan (roulottes) sono utilizzabili come alloggio solo con veicolo fermo,V
"caravan, significato e caratteristiche",I caravan (roulottes) sono muniti di targa,V
"caravan, significato e caratteristiche",E' possibile alloggiare nei caravan (roulottes) durante la circolazione,F
"caravan, significato e caratteristiche",I caravan (roulottes) sono rimorchi destinati ai lavori agricoli,F
"caravan, significato e caratteristiche",I caravan (roulottes) sono rimorchi destinati esclusivamente al trasporto di attrezzature turistiche e sportive,F
autocaravan,Le autocaravan (camper) sono veicoli aventi una speciale carrozzeria per essere adibiti al trasporto ed all'alloggio di persone,V
autocaravan,Le autocaravan (camper) sono veicoli aventi una speciale carrozzeria per essere adibiti al trasporto ed all'alloggio al massimo del numero di persone indicato nella carta di circolazione,V
autocaravan,Le autocaravan (camper) sono veicoli attrezzati permanentemente per essere adibiti al trasporto ed all'alloggio di persone,V
autocaravan,Le autocaravan sono soggette a revisione periodica,V
autocaravan,Le autocaravan (camper) sono rimorchi,F
autocaravan,Le autocaravan (camper) sono veicoli destinati ai lavori agricoli,F
autocaravan,Le autocaravan (camper) sono veicoli destinati alla costruzione e alla manutenzione di opere stradali,F
autocaravan,"Sulle autocaravan (camper) è possibile viaggiare in piedi, solo per brevi tratti",F
autocaravan,Le autocaravan sono soggette a revisione ogni cinque anni,F
strisce e pannelli retroriflettenti,"Durante la circolazione, gli autocarri con massa massima a pieno carico superiore a 3,5 tonnellate devono essere segnalati posteriormente con pannelli retroriflettenti in figura",V
strisce e pannelli retroriflettenti,"Durante la circolazione, i rimorchi e i semirimorchi per trasporto di cose con massa massima a pieno carico superiore a 3,5 tonnellate devono essere segnalati posteriormente con pannelli retroriflettenti in figura",V
strisce e pannelli retroriflettenti,"Durante la circolazione, gli autocarri ed i rimorchi con massa massima a pieno carico superiore a 3,5 t devono essere segnalati con strisce posteriori e laterali retroriflettenti",V
strisce e pannelli retroriflettenti,Il pannello in figura segnala il trasporto di merci pericolose,V
strisce e pannelli retroriflettenti,Il pannello in figura segnala il trasporto di carichi sporgenti,V
strisce e pannelli retroriflettenti,Le strisce retroriflettenti applicate lateralmente ad alcuni veicoli possono essere di colore bianco o giallo,V
strisce e pannelli retroriflettenti,Le strisce retroriflettenti applicate dietro ad alcuni veicoli possono essere di colore rosso o giallo,V
strisce e pannelli retroriflettenti,"Il conducente che vede i pannelli in figura sta seguendo un autocarro con massa a pieno carico superiore a 3,5 tonnellate",V
strisce e pannelli retroriflettenti,"Il conducente che vede i pannelli in figura sta seguendo un rimorchio o semirimorchio per trasporto di cose con massa a pieno carico superiore a 3,5 tonnellate",V
strisce e pannelli retroriflettenti,"Le strisce retroriflettenti laterali devono essere apposte sugli autocarri di massa complessiva a pieno carico inferiore a 3,5 tonnellate",F
strisce e pannelli retroriflettenti,"Durante la circolazione, gli autocarri di massa complessiva a pieno carico inferiore o uguale a 3,5 tonnellate devono essere segnalati posteriormente con pannelli retroriflettenti gialli e rossi",F
