大分类,小分类,图片
Segnali di pericolo,attraversamento animali domestici,https://www.patentati.it/img_sign_400/26.png
Segnali di pericolo,attraversamento animali selvatici,https://www.patentati.it/img_sign_400/27.png
Segnali di pericolo,doppio senso di circolazione,https://www.patentati.it/img_sign_400/28.png
Segnali di pericolo,banchina portuale,https://www.patentati.it/img_sign_400/30.png
Segnali di pericolo,presenza pietrisco,https://www.patentati.it/img_sign_400/31.png
Segnali di pericolo,caduta massi da sinistra,https://www.patentati.it/img_sign_400/32.png
Segnali di pericolo,caduta massi da destra,https://www.patentati.it/img_sign_400/33.png
Segnali di pericolo,semaforo verticale,https://www.patentati.it/img_sign_400/34.png
Segnali di pericolo,presenza aeroplani,https://www.patentati.it/img_sign_400/36.png
Segnali di pericolo,raffiche di vento,https://www.patentati.it/img_sign_400/37.png
Segnali di pericolo,pericolo di incendio,https://www.patentati.it/img_sign_400/38.png
Segnali di pericolo,circolazione rotatoria,https://www.patentati.it/img_sign_400/29.png
Segnali di pericolo,pericolo generico,https://www.patentati.it/img_sign_400/39.png
Segnali di pericolo,banchina cedevole,https://www.patentati.it/img_sign_400/23.png
Segnali di pericolo,semaforo orizzontale,https://www.patentati.it/img_sign_400/35.png
Segnali di divieto,divieto di transito,https://www.patentati.it/img_sign_400/54.png
Segnali di divieto,senso vietato,https://www.patentati.it/img_sign_400/55.png
Segnali di divieto,divieto di sorpasso,https://www.patentati.it/img_sign_400/56.png
Segnali di divieto,obbligo di distanza,https://www.patentati.it/img_sign_400/57.png
Segnali di divieto,limite velocità 80 km/h,https://www.patentati.it/img_sign_400/58.png
Segnali di divieto,divieto clacson,https://www.patentati.it/img_sign_400/59.png
Segnali di divieto,"sorpasso per mezzi di oltre 3,5 t",https://www.patentati.it/img_sign_400/60.png
Segnali di divieto,divieto transito veicoli a trazione animale,https://www.patentati.it/img_sign_400/61.png
Segnali di divieto,divieto transito pedoni,https://www.patentati.it/img_sign_400/62.png
Segnali di divieto,divieto transito biciclette,https://www.patentati.it/img_sign_400/63.png
Segnali di divieto,divieto transito motocicli,https://www.patentati.it/img_sign_400/64.png
Segnali di divieto,divieto transito veicoli a braccia,https://www.patentati.it/img_sign_400/65.png
Segnali di divieto,divieto transito autoveicoli,https://www.patentati.it/img_sign_400/66.png
Segnali di divieto,divieto transito autobus,https://www.patentati.it/img_sign_400/67.png
Segnali di divieto,divieto transito mezzi pesanti,https://www.patentati.it/img_sign_400/68.png
Segnali di divieto,"divieto mezzi superiori a 6,5 t",https://www.patentati.it/img_sign_400/69.png
Segnali di divieto,divieto transito veicoli con rimorchio,https://www.patentati.it/img_sign_400/70.png
Segnali di divieto,divieto transito macchine agricole,https://www.patentati.it/img_sign_400/71.png
Segnali di divieto,divieto transito veicoli che trasportano merci pericolose,https://www.patentati.it/img_sign_400/72.png
Segnali di divieto,divieto transito veicoli che trasportano esplosivi,https://www.patentati.it/img_sign_400/73.png
Segnali di divieto,divieto transito veicoli con sostanze inquinanti le acque,https://www.patentati.it/img_sign_400/74.png
Segnali di divieto,"divieto transito veicoli larghi più di 2,30 m",https://www.patentati.it/img_sign_400/75.png
Segnali di divieto,"divieto transito veicoli alti più di 3,5 m",https://www.patentati.it/img_sign_400/76.png
Segnali di divieto,divieto transito veicoli superiori a 10 m,https://www.patentati.it/img_sign_400/77.png
Segnali di divieto,divieto transito veicoli superiori a 7 t,https://www.patentati.it/img_sign_400/78.png
Segnali di divieto,"divieto transito veicoli con massa per asse superiore a 2,5 t",https://www.patentati.it/img_sign_400/79.png
Segnali di divieto,segnale di fine prescrizione,https://www.patentati.it/img_sign_400/80.png
Segnali di divieto,fine prescrizione 50 km/h,https://www.patentati.it/img_sign_400/81.png
Segnali di divieto,fine del divieto di sorpasso,https://www.patentati.it/img_sign_400/82.png
Segnali di divieto,"fine divieto sorpasso per mezzi sopra 3,5 t",https://www.patentati.it/img_sign_400/83.png
Segnali di divieto,divieto di sosta,https://www.patentati.it/img_sign_400/84.png
Segnali di divieto,divieto di fermata,https://www.patentati.it/img_sign_400/85.png
Segnali di divieto,area di parcheggio,https://www.patentati.it/img_sign_400/86.png
Segnali di divieto,preannuncio area di parcheggio,https://www.patentati.it/img_sign_400/89.png
Segnali di divieto,divieto sosta per passo carrabile,https://www.patentati.it/img_sign_400/90.png
Segnali di divieto,divieto di sosta contrassegno persone invalide,https://www.patentati.it/img_sign_400/91.png
Segnali di divieto,regolazione sosta,https://www.patentati.it/img_sign_400/92.png
Segnali di divieto,divieto di sosta temporaneo,https://www.patentati.it/img_sign_400/148.png
Segnali di divieto,divieto transito autotreni ed autoarticolati,https://www.patentati.it/img_sign_400/151.png
Segnali di obbligo,preavviso direzione obbligatoria a sinistra,https://www.patentati.it/img_sign_400/97.png
Segnali di obbligo,direzione obbligatoria dritto,https://www.patentati.it/img_sign_400/93.png
Segnali di obbligo,direzione obbligatoria sinistra,https://www.patentati.it/img_sign_400/94.png
Segnali di obbligo,direzione obbligatoria destra,https://www.patentati.it/img_sign_400/95.png
Segnali di obbligo,preavviso direzione obbligatoria a destra,https://www.patentati.it/img_sign_400/96.png
Segnali di obbligo,direzioni consentite destra e sinistra,https://www.patentati.it/img_sign_400/98.png
Segnali di obbligo,direzioni consentite dritto e destra,https://www.patentati.it/img_sign_400/99.png
Segnali di obbligo,direzioni consentite dritto e sinistra,https://www.patentati.it/img_sign_400/100.png
Segnali di obbligo,passaggio a sinistra,https://www.patentati.it/img_sign_400/101.png
Segnali di obbligo,passaggio destra,https://www.patentati.it/img_sign_400/102.png
Segnali di obbligo,passaggio a destra e sinistra,https://www.patentati.it/img_sign_400/103.png
Segnali di obbligo,segnale di rotatoria,https://www.patentati.it/img_sign_400/104.png
Segnali di obbligo,limite minimo di velocità,https://www.patentati.it/img_sign_400/105.png
Segnali di obbligo,fine limite minimo di velocità,https://www.patentati.it/img_sign_400/106.png
Segnali di obbligo,obbligo di catene o pneumatici da neve,https://www.patentati.it/img_sign_400/107.png
Segnali di obbligo,percorso pedonale,https://www.patentati.it/img_sign_400/108.png
Segnali di obbligo,fine percorso pedonale,https://www.patentati.it/img_sign_400/109.png
Segnali di obbligo,percorso riservato a biciclette,https://www.patentati.it/img_sign_400/110.png
Segnali di obbligo,fine percorso riservato a biciclette,https://www.patentati.it/img_sign_400/111.png
Segnali di obbligo,pista ciclabile accanto a marciapiede,https://www.patentati.it/img_sign_400/112.png
Segnali di obbligo,percorso unico per pedoni e ciclisti,https://www.patentati.it/img_sign_400/113.png
Segnali di obbligo,fine pista ciclabile accanto a marciapiede,https://www.patentati.it/img_sign_400/114.png
Segnali di obbligo,fine percorso unico per pedoni e ciclisti,https://www.patentati.it/img_sign_400/115.png
Segnali di obbligo,percorso per animali da sella o da soma,https://www.patentati.it/img_sign_400/116.png
Segnali di obbligo,fine percorso per animali da sella o da soma,https://www.patentati.it/img_sign_400/117.png
Segnali di obbligo,alt dogana,https://www.patentati.it/img_sign_400/118.png
Segnali di obbligo,alt polizia,https://www.patentati.it/img_sign_400/119.png
Segnali di obbligo,alt stazione,https://www.patentati.it/img_sign_400/120.png
Segnali di obbligo,obbligo di svolta per veicoli pesanti,https://www.patentati.it/img_sign_400/150.png
Segnali di precedenza,dare precedenza,https://www.patentati.it/img_sign_400/40.png
Segnali di precedenza,fermarsi e dare precedenza,https://www.patentati.it/img_sign_400/41.png
Segnali di precedenza,preavviso di precedenza,https://www.patentati.it/img_sign_400/42.png
Segnali di precedenza,preavviso di fermarsi e dare precedenza,https://www.patentati.it/img_sign_400/43.png
Segnali di precedenza,incrocio con precedenza a destra,https://www.patentati.it/img_sign_400/44.png
Segnali di precedenza,dare precedenza nei sensi unici alternati,https://www.patentati.it/img_sign_400/45.png
Segnali di precedenza,fine diritto precedenza,https://www.patentati.it/img_sign_400/46.png
Segnali di precedenza,incrocio con diritto di precedenza,https://www.patentati.it/img_sign_400/47.png
Segnali di precedenza,intersezione a T da destra,https://www.patentati.it/img_sign_400/48.png
Segnali di precedenza,intersezione a T da sinistra,https://www.patentati.it/img_sign_400/49.png
Segnali di precedenza,confluenza da destra,https://www.patentati.it/img_sign_400/50.png
Segnali di precedenza,confluenza da sinistra,https://www.patentati.it/img_sign_400/51.png
Segnali di precedenza,strada con diritto di precedenza,https://www.patentati.it/img_sign_400/52.png
Segnali di precedenza,diritto di precedenza nei sensi unici alternati,https://www.patentati.it/img_sign_400/53.png
Segnaletica orizzontale e segni sugli ostacoli,striscia bianca discontinua,https://www.patentati.it/img_sign_400/502.png
Segnaletica orizzontale e segni sugli ostacoli,strisce della strada,无图片
Segnaletica orizzontale e segni sugli ostacoli,doppia striscia continua,https://www.patentati.it/img_sign_400/509.png
Segnaletica orizzontale e segni sugli ostacoli,strisce curve discontinue,https://www.patentati.it/img_sign_400/543.png
Segnaletica orizzontale e segni sugli ostacoli,frecce direzionali,https://www.patentati.it/img_sign_400/547.png
Segnaletica orizzontale e segni sugli ostacoli,isole che regolano il traffico,https://www.patentati.it/img_sign_400/595.png
Segnaletica orizzontale e segni sugli ostacoli,striscia continua centrale,https://www.patentati.it/img_sign_400/567.png
Segnaletica orizzontale e segni sugli ostacoli,striscia discontinua centrale,https://www.patentati.it/img_sign_400/566.png
Segnaletica orizzontale e segni sugli ostacoli,segni gialli e neri,https://www.patentati.it/img_sign_400/670.png
Segnaletica orizzontale e segni sugli ostacoli,zona di fermata autobus,https://www.patentati.it/img_sign_400/546.png
Segnaletica orizzontale e segni sugli ostacoli,strisce di guida,https://www.patentati.it/img_sign_400/596.png
Segnaletica orizzontale e segni sugli ostacoli,corsie di arresto,https://www.patentati.it/img_sign_400/574.png
Segnaletica orizzontale e segni sugli ostacoli,corsie di preselezione,https://www.patentati.it/img_sign_400/564.png
Segnaletica orizzontale e segni sugli ostacoli,corsie di preselezione su strada a doppio senso,https://www.patentati.it/img_sign_400/565.png
Segnaletica orizzontale e segni sugli ostacoli,bordo marciapiede,https://www.patentati.it/img_sign_400/670.png
Segnaletica orizzontale e segni sugli ostacoli,regolamenti della segnaletica orizzontale,无图片
Segnaletica orizzontale e segni sugli ostacoli,striscia bianca discontinua per strada a senso unico,https://www.patentati.it/img_sign_400/502.png
Segnaletica orizzontale e segni sugli ostacoli,strisce pedonali,https://www.patentati.it/img_sign_400/517.png
Segnaletica orizzontale e segni sugli ostacoli,striscia di arresto,https://www.patentati.it/img_sign_400/563.png
Segnaletica orizzontale e segni sugli ostacoli,striscia bianca discontinua per strade a doppio senso di circolazione,https://www.patentati.it/img_sign_400/502.png
Segnaletica orizzontale e segni sugli ostacoli,carreggiata doppio senso circolazione,无图片
Segnaletica orizzontale e segni sugli ostacoli,striscia bianca continua,https://www.patentati.it/img_sign_400/501.png
Segnaletica orizzontale e segni sugli ostacoli,dispositivi ed elementi della strada,https://www.patentati.it/img_sign_400/528.png
Segnaletica orizzontale e segni sugli ostacoli,striscia bianca laterale,https://www.patentati.it/img_sign_400/513.png
Segnaletica orizzontale e segni sugli ostacoli,segnaletica di passaggio a livello,https://www.patentati.it/img_sign_400/531.png
Segnaletica orizzontale e segni sugli ostacoli,corsia di emergenza,https://www.patentati.it/img_sign_400/553.png
Segnaletica orizzontale e segni sugli ostacoli,striscia trasversale continua,https://www.patentati.it/img_sign_400/563.png
Segnalazioni semaforiche e degli agenti del traffico,luce rossa semaforo,https://www.patentati.it/img_sign_400/154.png
Segnalazioni semaforiche e degli agenti del traffico,luce verde semaforo,https://www.patentati.it/img_sign_400/154.png
Segnalazioni semaforiche e degli agenti del traffico,semafori di corsia,https://www.patentati.it/img_sign_400/155.png
Segnalazioni semaforiche e degli agenti del traffico,luce gialla semaforo,https://www.patentati.it/img_sign_400/154.png
Segnalazioni semaforiche e degli agenti del traffico,luce gialla lampeggiante,https://www.patentati.it/img_sign_400/154.png
Segnalazioni semaforiche e degli agenti del traffico,luci rosse lampeggianti,https://www.patentati.it/img_sign_400/162.png
Segnalazioni semaforiche e degli agenti del traffico,semaforo veicoli trasporto pubblico,https://www.patentati.it/img_sign_400/156.png
Segnalazioni semaforiche e degli agenti del traffico,regole del semaforo,https://www.patentati.it/img_sign_400/154.png
Segnalazioni semaforiche e degli agenti del traffico,luci di passaggio a livello,https://www.patentati.it/img_sign_400/162.png
Segnalazioni semaforiche e degli agenti del traffico,semafori per corsie reversibili,https://www.patentati.it/img_sign_400/159.png
Segnalazioni semaforiche e degli agenti del traffico,semaforo per pedoni,https://www.patentati.it/img_sign_400/157.png
Segnalazioni semaforiche e degli agenti del traffico,semaforo per biciclette,https://www.patentati.it/img_sign_400/158.png
Segnalazioni semaforiche e degli agenti del traffico,luci lampeggianti,https://www.patentati.it/img_sign_400/160.png
Segnalazioni semaforiche e degli agenti del traffico,semafori di onda verde,https://www.patentati.it/img_sign_400/161.png
Segnalazioni semaforiche e degli agenti del traffico,agenti di traffico,无图片
Segnalazioni semaforiche e degli agenti del traffico,addetti polizia postale,无图片
Segnalazioni semaforiche e degli agenti del traffico,posizione vigile come luce rossa,https://www.patentati.it/img_sign_400/383.png
Segnalazioni semaforiche e degli agenti del traffico,posizione vigile come luce verde,https://www.patentati.it/img_sign_400/384.png
Segnalazioni semaforiche e degli agenti del traffico,posizione vigile come luce gialla,https://www.patentati.it/img_sign_400/385.png
Segnalazioni semaforiche e degli agenti del traffico,vigile con braccia ad angolo retto,https://www.patentati.it/img_sign_400/386.png
Segnalazioni semaforiche e degli agenti del traffico,fischietto,无图片
Segnalazioni semaforiche e degli agenti del traffico,vicinanze passaggio a livello,无图片
Segnali di indicazione,segnale di conferma autostradale,https://www.patentati.it/img_sign_400/184.png
Segnali di indicazione,itinerario internazionale,https://www.patentati.it/img_sign_400/199.png
Segnali di indicazione,strada statale,https://www.patentati.it/img_sign_400/201.png
Segnali di indicazione,strada comunale,https://www.patentati.it/img_sign_400/203.png
Segnali di indicazione,area campeggio,https://www.patentati.it/img_sign_400/260.png
Segnali di indicazione,comando polizia stradale,https://www.patentati.it/img_sign_400/274.png
Segnali di indicazione,senso unico frontale,https://www.patentati.it/img_sign_400/153.png
Segnali di indicazione,strada a senso unico,https://www.patentati.it/img_sign_400/152.png
Segnali di indicazione,progressiva distanziometrica autostradale,https://www.patentati.it/img_sign_400/206.png
Segnali di indicazione,area sosta taxi,https://www.patentati.it/img_sign_400/272.png
Segnali di indicazione,telefono pubblico,https://www.patentati.it/img_sign_400/253.png
Segnali di indicazione,area rifornimento carburante,https://www.patentati.it/img_sign_400/254.png
Segnali di indicazione,preavviso deviazione temporanea,https://www.patentati.it/img_sign_400/282.png
Segnali di indicazione,preavviso di incrocio urbano,https://www.patentati.it/img_sign_400/166.png
Segnali di indicazione,incroci ravvicinati urbani,https://www.patentati.it/img_sign_400/167.png
Segnali di indicazione,incrocio urbano con circolazione rotatoria,https://www.patentati.it/img_sign_400/168.png
Segnali di indicazione,preavviso incrocio con limitazione traffico per autocarri,https://www.patentati.it/img_sign_400/169.png
Segnali di indicazione,preavviso di incrocio extraurbano,https://www.patentati.it/img_sign_400/170.png
Segnali di indicazione,preselezione extraurbana,https://www.patentati.it/img_sign_400/171.png
Segnali di indicazione,preselezione urbana,https://www.patentati.it/img_sign_400/172.png
Segnali di indicazione,ingresso ospedale,https://www.patentati.it/img_sign_400/214.png
Segnali di indicazione,preavviso di diramazione autostradale,https://www.patentati.it/img_sign_400/173.png
Segnali di indicazione,preavviso di diramazione urbana,https://www.patentati.it/img_sign_400/174.png
Segnali di indicazione,itinerario extraurbano,https://www.patentati.it/img_sign_400/182.png
Segnali di indicazione,fine centro abitato,https://www.patentati.it/img_sign_400/183.png
Segnali di indicazione,inizio area pedonale,https://www.patentati.it/img_sign_400/186.png
Segnali di indicazione,inizio zona a traffico limitato,https://www.patentati.it/img_sign_400/187.png
Segnali di indicazione,segnale di transitabilità,https://www.patentati.it/img_sign_400/189.png
Segnali di indicazione,segnale di intransitabilità,https://www.patentati.it/img_sign_400/193.png
Segnali di indicazione,inizio strada extraurbana principale,https://www.patentati.it/img_sign_400/194.png
Segnali di indicazione,limiti massimi generali di velocità,https://www.patentati.it/img_sign_400/197.png
Segnali di indicazione,identificazione autostrada,https://www.patentati.it/img_sign_400/200.png
Segnali di indicazione,inizio centro abitato,https://www.patentati.it/img_sign_400/207.png
Segnali di indicazione,pronto soccorso,https://www.patentati.it/img_sign_400/210.png
Segnali di indicazione,localizzazione territoriale,https://www.patentati.it/img_sign_400/216.png
Segnali di indicazione,informazioni turistico alberghiere,https://www.patentati.it/img_sign_400/217.png
Segnali di indicazione,attraversamento pedonale non regolato,https://www.patentati.it/img_sign_400/218.png
Segnali di indicazione,segnale scuolabus,https://www.patentati.it/img_sign_400/219.png
Segnali di indicazione,segnale di sos,https://www.patentati.it/img_sign_400/220.png
Segnali di indicazione,strada senza uscita,https://www.patentati.it/img_sign_400/224.png
Segnali di indicazione,preavviso di strada senza uscita,https://www.patentati.it/img_sign_400/225.png
Segnali di indicazione,velocità consigliata,https://www.patentati.it/img_sign_400/226.png
Segnali di indicazione,strada riservata ai veicoli a motore,https://www.patentati.it/img_sign_400/228.png
Segnali di indicazione,inizio galleria,https://www.patentati.it/img_sign_400/230.png
Segnali di indicazione,presenza ponte,https://www.patentati.it/img_sign_400/231.png
Segnali di indicazione,cartello di attraversamento ciclabile,https://www.patentati.it/img_sign_400/236.png
Segnali di indicazione,svolta a sinistra indiretta,https://www.patentati.it/img_sign_400/238.png
Segnali di indicazione,inversione di marcia,https://www.patentati.it/img_sign_400/239.png
Segnali di indicazione,piazzola di sosta,https://www.patentati.it/img_sign_400/240.png
Segnali di indicazione,utilizzo corsie,https://www.patentati.it/img_sign_400/242.png
Segnali di indicazione,velocità minima sulle corsie,https://www.patentati.it/img_sign_400/243.png
Segnali di indicazione,corsia riservata ad autobus,https://www.patentati.it/img_sign_400/245.png
Segnali di indicazione,aumento corsie,https://www.patentati.it/img_sign_400/247.png
Segnali di indicazione,diminuzione corsie,https://www.patentati.it/img_sign_400/248.png
Segnali di indicazione,preavviso deviazione autocarri,https://www.patentati.it/img_sign_400/250.png
Segnali di indicazione,fermata autobus,https://www.patentati.it/img_sign_400/256.png
Segnali di indicazione,parcheggio di scambio con linee di autobus,https://www.patentati.it/img_sign_400/265.png
Segnali di indicazione,auto al seguito,https://www.patentati.it/img_sign_400/270.png
Segnali di indicazione,area attrezzata con impianti di scarico,https://www.patentati.it/img_sign_400/273.png
Segnali di indicazione,officina meccanica,https://www.patentati.it/img_sign_400/252.png
Segnali di indicazione,confine di stato con paese UE,https://www.patentati.it/img_sign_400/163.png
Segnali di indicazione,preavviso confine stato con paese UE,https://www.patentati.it/img_sign_400/164.png
Segnali di indicazione,direzione obbligatoria autotreni,https://www.patentati.it/img_sign_400/284.png
"Segnali complementari, segnali temporanei e di cantiere",numero del tornante,https://www.patentati.it/img_sign_400/144.png
"Segnali complementari, segnali temporanei e di cantiere",direzione autocarri,https://www.patentati.it/img_sign_400/251.png
"Segnali complementari, segnali temporanei e di cantiere",lavori in corso,https://www.patentati.it/img_sign_400/275.png
"Segnali complementari, segnali temporanei e di cantiere",barriera normale,https://www.patentati.it/img_sign_400/276.png
"Segnali complementari, segnali temporanei e di cantiere",cono di delimitazione,https://www.patentati.it/img_sign_400/278.png
"Segnali complementari, segnali temporanei e di cantiere",passaggio obbligatorio per veicoli operativi,https://www.patentati.it/img_sign_400/279.png
"Segnali complementari, segnali temporanei e di cantiere",segnale di cantiere mobile con strettoia,https://www.patentati.it/img_sign_400/280.png
"Segnali complementari, segnali temporanei e di cantiere",Deviazione per mezzi di massa superiore a 7t,https://www.patentati.it/img_sign_400/283.png
"Segnali complementari, segnali temporanei e di cantiere",chiusura corsia di destra,https://www.patentati.it/img_sign_400/285.png
"Segnali complementari, segnali temporanei e di cantiere",uso corsie disponibili,https://www.patentati.it/img_sign_400/288.png
"Segnali complementari, segnali temporanei e di cantiere",delineatori di margine per strade a senso unico,https://www.patentati.it/img_sign_400/289.png
"Segnali complementari, segnali temporanei e di cantiere",delineatori di margine,https://www.patentati.it/img_sign_400/290.png
"Segnali complementari, segnali temporanei e di cantiere",delineatori per gallerie,https://www.patentati.it/img_sign_400/291.png
"Segnali complementari, segnali temporanei e di cantiere",delineatore per strade di montagna,https://www.patentati.it/img_sign_400/292.png
"Segnali complementari, segnali temporanei e di cantiere",delineatore di curva stretta,https://www.patentati.it/img_sign_400/293.png
"Segnali complementari, segnali temporanei e di cantiere",delineatore per incrocio a T,https://www.patentati.it/img_sign_400/294.png
"Segnali complementari, segnali temporanei e di cantiere",delineatore modulare di curva,https://www.patentati.it/img_sign_400/295.png
"Segnali complementari, segnali temporanei e di cantiere",preavviso semaforo,https://www.patentati.it/img_sign_400/297.png
"Segnali complementari, segnali temporanei e di cantiere",delineatore di ostacolo,https://www.patentati.it/img_sign_400/299.png
Pannelli integrativi dei segnali,pannelli di distanza,https://www.patentati.it/img_sign_400/121.png
Pannelli integrativi dei segnali,pannelli di estensione,https://www.patentati.it/img_sign_400/122.png
Pannelli integrativi dei segnali,fascia oraria,https://www.patentati.it/img_sign_400/943.png
Pannelli integrativi dei segnali,fascia oraria nei giorni festivi,https://www.patentati.it/img_sign_400/124.png
Pannelli integrativi dei segnali,fascia oraria nei giorni lavorativi,https://www.patentati.it/img_sign_400/125.png
Pannelli integrativi dei segnali,pannelli di limitazione,https://www.patentati.it/img_sign_400/926.png
Pannelli integrativi dei segnali,pannelli di inizio prescrizione,https://www.patentati.it/img_sign_400/128.png
Pannelli integrativi dei segnali,continuazione prescrizione,https://www.patentati.it/img_sign_400/939.png
Pannelli integrativi dei segnali,pannelli di fine prescrizione,https://www.patentati.it/img_sign_400/944.png
Pannelli integrativi dei segnali,segni orizzontali in rifacimento,https://www.patentati.it/img_sign_400/131.png
Pannelli integrativi dei segnali,presenza di incidente,https://www.patentati.it/img_sign_400/132.png
Pannelli integrativi dei segnali,pannelli di attraversamento binari,https://www.patentati.it/img_sign_400/133.png
Pannelli integrativi dei segnali,sgombraneve in azione,https://www.patentati.it/img_sign_400/134.png
Pannelli integrativi dei segnali,zona soggetta ad allagamento,https://www.patentati.it/img_sign_400/135.png
Pannelli integrativi dei segnali,presenza code,https://www.patentati.it/img_sign_400/136.png
